type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,,"Start Showing Date: 3/21/[Redacted Entity], South Bend, IN 46615, where classic charm meets modern comfort in a beautifully appointed residence designed to stand the test of time. This 4-bedroom, 2 full bathroom home offers a refined living experience, blending spacious interiors with thoughtful design. From the moment you enter, you're welcomed by an atmosphere that feels both enduring and elevated-perfect for those who appreciate quality, character, and room to grow. This home features generous living spaces ideal for both everyday living and entertaining, while each bedroom provides a comfortable retreat filled with natural light. The layout flows effortlessly, creating a sense of openness while still maintaining warmth and distinction throughout. Then step outside to discover the expansive deck and fully fenced backyard, offering endless possibilities-whether you envision private outdoor gatherings, a garden oasis, or simply a serene space to unwind. Positioned in a convenient South Bend location, this property offers not just a home, but a lifestyle rooted in comfort, space, and timeless appeal. You don't want to miss your opportunity to own this home.",220000.0,1940.0,1.0,4.0,2.0,2.0,2.0,2.0,1977.0
single_family,,"Coming soon to the highly sought-after Village of WestClay-and yes, it's on one of the most centrally located streets in the main part VWC. This finely detailed, custom-built ranch by Will Wright delivers the perfect blend of quality craftsmanship, thoughtful design, and effortless living. Step inside to an open-concept layout with hardwood floors, granite counters, stainless appliances (including an exhaust that actually vents outside-your bacon will thank you), and a cozy family room with fireplace. Fresh paint in all three bedrooms and brand-new carpet in two make the home feel crisp and move-in ready. The primary suite is on the main floor, along with a secondary bedroom and convenient main-level laundry-because stairs should be optional, not mandatory. The finished lower level is HUGE and ready for game days, movie nights, or hosting the kind of gatherings that end with someone saying, ""Wait... there's another room down here?"" Complete with a bar, bedroom, and full bath with shower, it's ideal for guests or extended entertaining. Impeccably maintained and designed for single-floor living with bonus space below, this home checks every box. And the 25x25 21/2-car garage with built-ins means plenty of room for cars, hobbies, storage-or all three. Quality construction, refined finishes, and wonderful views of the pond and park -all wrapped into a home that proves ranch living can still feel expansive.",725000.0,3275.0,1.0,3.0,3.0,3.0,3.0,2.0,2004.0
single_family,,"Adorable, well maintained, single owner home. This home has been built and lived in by one owner! Roof, AC, Furnace, Water heater all replaced since 2018! Extremely clean three bed, one bath on .74 acre! Space to grow and space to make your own! Original hardwood floors bring the cozy charm of this solid home. Don't miss the opportunity to grow your future here!",179900.0,1095.0,1.0,3.0,1.0,1.0,1.0,,1970.0
single_family,,"A residence of enduring appeal awaits at [Redacted Entity], INDIANAPOLIS, IN, USA, presenting an inviting home ready for immediate enjoyment. The living room offers a grand sense of space, highlighted by its impressive vaulted ceiling that ascends gracefully, creating an airy atmosphere. Overhead, sophisticated beamed ceiling details add a touch of architectural elegance, providing a captivating visual element for relaxation and peaceful moments. Culinary aspirations find their perfect setting within the kitchen, thoughtfully designed with elegant shaker cabinets that provide ample storage and a timeless aesthetic. The inclusion of a practical kitchen bar alongside a versatile kitchen peninsula creates distinct zones for meal preparation and casual dining, fostering a welcoming environment for daily routines. One of the three bedrooms provides a private sanctuary, featuring elegant crown molding that frames the space with refined detail. This peaceful retreat is further enhanced by the convenience of an ensuite bathroom, offering a personal haven for comfort and rejuvenation. Throughout the 1860 square feet of living area, this single family residence thoughtfully accommodates three bedrooms, a full bathroom, and a convenient half bathroom, all arranged across a single story for effortless living. Beyond the interior, the generous 11282 square foot lot provides expansive outdoor possibilities, including a welcoming patio ideal for enjoying the fresh air and a useful shed for additional storage solutions. This inviting home, built in 1964, presents a harmonious blend of classic charm and functional design, offering a distinct living experience.",209900.0,1860.0,1.0,3.0,2.0,1.0,1.0,2.0,1964.0
single_family,,"Situated at [Redacted Entity] in INDIANAPOLIS, IN, USA, this single family residence offers an inviting home experience, ready for its occupants to begin creating cherished memories. The property presents itself in a condition ready for immediate enjoyment. The living room provides a welcoming atmosphere, centered around a beautiful fireplace, perfect for tranquil evenings and cozy gatherings. This space encourages relaxation and comfort, making it an ideal setting for personal moments or shared experiences. The kitchen showcases elegant shaker cabinets, providing both a stylish aesthetic and practical storage solutions for culinary pursuits. These well-crafted elements contribute to an organized and efficient environment for daily routines. This thoughtfully designed residence encompasses two comfortable bedrooms and a well-appointed full bathroom, providing practical living spaces within its 864 square feet. Constructed in 1957, this single-story dwelling rests upon a generous 7362 square feet lot area, offering ample outdoor potential. This delightful property presents a wonderful opportunity for comfortable living and personal expression.",134900.0,864.0,1.0,2.0,1.0,1.0,1.0,,1957.0
single_family,,"Home is where nearly 41 [Redacted County] Acres sits! Check out this 3 Bedroom Brick Home with basement on 40/+ Acres of wooded ground, connected to two pasture areas, with a stocked pond! The home was a BEAUT in it's prime however today needs quite a bit of love. Come with your vision and grit to make it a place you can homestead, hunt from the back door, or fish until your heart is content! On the property is an old barn and plenty of wildlife trails! Fresh scrapes and rubs for all those whitetail fans! Nearly 2,000 finished sq. feet on the main level and 1,400 in the basement (unfinished) - plenty of room to make your own! Gather the tools, Garth! This one will need the sweat equity but it'll be worth it! Updated windows, all brick, formal dining room, hardwood floors, and CHARACTER that isn't recreated easily. See You Soon! Home is sold As-Is and will not qualify for any government financing.",295000.0,1907.0,1.0,3.0,2.0,1.0,1.0,2.0,1947.0
single_family,,"Charming 3-bedroom, 2 full bath home situated on a desirable corner lot. The main level features a bedroom, dining room, updated kitchen, living room with beautiful hardwood floors throughout. Upstairs offers two spacious bedrooms with generous closets. The full basement provides excellent potential for additional living space or storage. Enjoy the comfort of two fireplaces, a fully fenced yard, and a 2-car detached garage. A great combination of character, space, and functionality! Call a local Realtor today for your personal tour!!!",137900.0,1562.0,2.0,3.0,2.0,2.0,2.0,2.0,1937.0
single_family,,"Nestled on an inviting tree-lined street in the desirable Shamrock subdivision of Valparaiso, this spacious four-bedroom, four-bath home offers a welcoming floor plan and plenty of room to live and entertain. The main level features a large living room with beautiful hardwood flooring and a generously sized kitchen with an oversized dining area, perfect for gatherings. The kitchen includes stainless steel appliances and ample space for cooking and entertaining. The upper level offers three bedrooms, including a comfortable primary suite with a spacious private bath and walk-in closet, along with two additional bedrooms and another full bathroom. The daylight basement provides even more living space, featuring a bar area for entertaining, a fourth bedroom, a half bath, and a utility room with extra storage. Step outside to enjoy the very large fenced backyard, complete with a storage shed and plenty of space for outdoor activities.",390000.0,2364.0,2.0,4.0,4.0,2.0,2.0,2.0,1999.0
single_family,,"Positioned on a spacious corner lot with a wood privacy fence, this versatile floor plan has 4-bedrooms, 2.5-bathrooms and a main level den. The eat-in kitchen features stainless steel appliances, a tile backsplash, pantry storage, and ample space for everyday dining. Formal living and dining rooms with laminate flooring complete the main level. The primary suite provides a comfortable retreat with a vaulted ceiling, built-in shelving, a walk-in closet, and an en suite bath featuring a twin-sink vanity. Three additional bedrooms, a hall bath, and laundry complete the second floor. Outdoor space is enhanced by a 12x16 deck overlooking the fully fenced yard, complete with a storage shed. A side-entry garage adds both curb appeal and practical access.",364900.0,2336.0,2.0,4.0,3.0,2.0,2.0,2.0,2006.0
single_family,,"This unique property sits on approximately 3.41 acres and offers a rare opportunity to create something truly your own with the convenience of city water and sewer. The existing 1 bedroom, 1 bath home provides a flexible layout with an open interior and no finished kitchen, allowing buyers to design a space that fits their vision-whether that's a custom kitchen, studio-style living, or a private weekend retreat. Nestled in a quiet setting, the expansive lot offers plenty of room for gardening, outdoor recreation, or simply enjoying the peace and privacy of acreage living while still being conveniently located. With its generous land size, city utilities, and endless potential, this property is ideal for buyers looking for a project, investment opportunity, or a blank canvas to build their dream space. The property is being sold AS-IS. Buyer to perform due diligence on measurements and land use. Opportunities like this don't come around often-schedule your showing and explore the possibilities.",135000.0,912.0,1.0,1.0,1.0,1.0,1.0,,1945.0
single_family,,"Welcome to this beautifully updated mid-century modern 3-bedroom, 2-bathroom home in a quiet, established Brownsburg neighborhood with no HOA. This charming stone and brick residence offers both a living room and a family room, featuring a stunning stone fireplace and flexible space ideal for a home office or additional seating area. Enjoy the bright four-season sunroom overlooking a large, fully fenced backyard with mature trees, a fire pit, and plenty of space for entertaining or relaxing in privacy. Recent updates include fresh paint and new flooring throughout, making this home truly move-in ready. The energy-efficient boiler system provides long-lasting comfort, typically lasting up to 30 years with minimal maintenance compared to traditional furnaces. An oversized two-car garage offers an additional workshop area and loft storage, with an extra driveway for RV, camper, or guest parking. A quaint breezeway connects the garage to the home, creating the perfect drop zone for daily convenience. Situated close to shopping, dining, and I-74, this home combines timeless mid-century character with modern efficiency and functionality. Don't miss the opportunity to own this property in one of Brownsburg's most desirable, peaceful neighborhoods.",299900.0,1862.0,1.0,3.0,2.0,2.0,2.0,2.0,1960.0
single_family,,"Welcome to an exceptional offering in the heart of east Carmel-a stunning traditional residence that seamlessly blends timeless architecture with sophisticated, modern living. This beautifully appointed home features 5 spacious bedrooms, 5 full baths, and 1 half bath, thoughtfully designed to provide both elegance and everyday comfort. With over 6,000 square feet of living space, every detail reflects impeccable maintenance, refined finishes, and quality craftsmanship. The main level offers gracious living and entertaining areas with a seamless, functional flow. Main-level bedroom, currently used as an office, with an attached full bath, perfectly suited as a private guest suite or an ideal executive home office. The gourmet kitchen opens to inviting living spaces and is complemented by a bright, light-filled sunroom, creating a warm and airy gathering space year-round. Upstairs, generously sized bedrooms provide private retreats all with attached bath access, while the luxurious primary suite offers a serene escape with spa-like amenities. Practicality meets convenience with walk-out access to attic storage, offering easily accessible and abundant additional space. The finished basement is designed for entertaining and relaxation, featuring a wet bar and expansive recreation space, allowing for maximum flexibility for media, fitness, or game areas plus a full bath. Step outside to a picturesque setting framed by mature trees, offering both beauty and privacy-perfect for outdoor entertaining or quiet evenings at home. Car enthusiasts and hobbyists will appreciate the rare **4-car garage**, providing abundant storage and versatility. Meticulously maintained and move-in ready, this exceptional property delivers the perfect balance of classic style, modern functionality, and an unbeatable location. A truly remarkable opportunity to own a distinguished home in Woodfield, one of Carmel's most established and enduring neighborhoods.",899900.0,6129.0,2.0,5.0,6.0,5.0,5.0,4.0,1996.0
single_family,,"Welcome home to this charming and cozy 3-bedroom retreat in Peru! This inviting home offers a warm and functional layout, with a comfortable living room and kitchen on the main floor-perfect for everyday living and easy entertaining. Upstairs, you'll find all three bedrooms along with a full bath, including a delightful main bedroom featuring a sliding glass door that opens directly to the deck-your own private spot to enjoy morning coffee or unwind in the evenings. The partially finished basement provides additional flexible space for a family room, hobby area, or extra storage. Outside, you'll love the fenced-in yard-ideal for pets, play, or relaxing gatherings. The included lawn furniture and charming gazebo create a ready-to-enjoy outdoor oasis from day one. With a manageable footprint of 946 square feet, this home is full of character and efficient living space, plus the convenience of a one-car garage. If you've been looking for something cute, cozy, and move-in ready with great outdoor space-this is the one! Home Details: New roof and gutter leaf guards in 2012, new furnace and a/c in the last 10 years, fully remodeled bathroom, new stove and refrigerator recently.",150000.0,976.0,,3.0,2.0,1.0,1.0,1.0,1975.0
single_family,,"Brick and vinyl ranch home has 2326 sq ft. and sits on 2.6 acres. The home has 3 bedrooms, 2 baths and a large eat-in kitchen. This property has a 2 car attached garage, a 6-car, 2024 sq ft detached garage/workshop and a large 30x40 insulated pole barn. Property has multiple offers. Highest and best offers are due by 1pm March 6, 2026.",104000.0,2326.0,1.0,3.0,2.0,2.0,2.0,2.0,1982.0
single_family,,"Welcome to this beautifully maintained 4-bedroom, 2.5-bath brick home on Evansville's desirable Northside, offering space, style, and a backyard built for making memories! The main level features a spacious primary suite complete with a private en-suite bath and walk-in closet, along with the convenience of a main floor laundry room. The two-story living room is filled with natural light thanks to an abundance of windows, creating an open and inviting atmosphere. The eat-in kitchen includes a breakfast bar, perfect for casual meals or entertaining. Step outside to your own private oasis, where a patio surrounds the in-ground saltwater pool, complete with a diving board. A pergola provides additional space to relax or entertain and is already equipped with amp power for a future hot tub. The backyard also includes a storage shed with electricity and a full irrigation system on a separate meter to keep the lawn looking its best all season long. Back inside the home, you'll find three generously sized bedrooms upstairs, including one that could easily serve as a bonus or flex space. The open landing overlooks the backyard and offers the perfect spot for a home office, play area, or creative space. Located in a well-established neighborhood, you'll enjoy the charm and maturity of the area, without the added expense of an HOA. This home truly offers the best of comfort, functionality, and outdoor living-don't miss your chance to make it yours!",414900.0,2480.0,2.0,4.0,3.0,2.0,2.0,2.0,2006.0
single_family,,Well maintained 2 bed 1 bath stone ranch with partial block basement.,167500.0,648.0,1.0,2.0,1.0,1.0,1.0,1.0,1938.0
single_family,,"ATTENTION INVESTORS & REHABBERS: Rare opportunity to capture sweat equity on 6.54 acres in the Everton Elementary district! This 1965 ranch offers 1,952 sq. ft. of main-level living space plus a partial walkout basementthe perfect footprint for a high-end transformation. Full Interior Renovation required. 3 Bed/1.5 Bath. 3-car detached frame-construction garage with workshop area is on-site and waiting for your final touches. Ideal for a premium workshop or ADU conversion. Central air, well, and septic system already in place (Buyer to verify condition). THE ASSET: The land is the star of the show. Enjoy a private pond and a seasonal creek that winds through the property during wetter months. Huge upside for a modern homestead flip or a long-term buy-and-hold in a [Redacted School District]. Sold 100% AS-IS. Cash or renovation-style financing only. Bring your contractor and your vision, this is the one!",180000.0,1952.0,1.0,3.0,2.0,1.0,1.0,,1965.0
single_family,,"With 7 bedrooms in the home and an expansive living room, kitchen and entry area this home feels enormous. The home features hardwood floors throughout a poured partial basement, a large pantry, and even a large attic setting above it all. The property is full of barns with one being a partially finished 24X63 hip room barn that could convert into living area. The dairy barn measures 57X70 with loft and concrete inside and a large pad surrounding it. The free stall barn at 24X84, a chicken coop, and a 30X [Redacted Entity]. better just come and check it out.",279900.0,3088.0,2.0,7.0,1.0,,,,1924.0
single_family,,"Welcome home to [Redacted Entity] on Lafayette's south side, where comfort, care, and charm come together in all the right ways. This lovingly maintained home offers 4 bedrooms, 2.5 bathrooms, and just shy of 1,800 square feet of inviting living space designed for both everyday living and easy entertaining. Inside, you'll find large windows with an abundance of natural light, an inviting living room with a woodburning fireplace and soaring ceilings, a separate dining room, and additional seating space in the kitchen for casual meals or morning coffee. The main floor primary suite offers a peaceful retreat with an updated bath and walk-in closet. The other main floor bedroom also offers great flexibility and can easily double as a home office or hobby room, complete with a built-in desk. Washer and dryer are included, adding even more convenience. Upstairs you'll find 2 additional spacious bedrooms and another full bath! Thoughtful updates include a new furnace and central air in 2023, water heater in 2022, a beautiful new deck with built-in planter boxes in 2024, plus added pavers, a firepit, and new front and storm doors. Outside, the fenced backyard truly feels like a private oasis with space to relax, gather and enjoy, along with a handy storage shed for all those tools and gadgets. You can even light up the night with the peaceful hanging string lights! Set in a prime location, this home has been lovingly cared for and well maintained, and it shows in every space.",289900.0,1797.0,1.0,4.0,3.0,2.0,2.0,2.0,1998.0
single_family,,"Charming 1910 Farmhouse on 3.29 Acres - Perfect for Your Hobby Farm Dream! Imagine the freedom of raising your own chickens, Livestock, growing an abundant garden, and enjoying peaceful country living -- all just minutes from downtown Crown Point. This original farmhouse offers 3 bedrooms, 2 baths, and 2,082 sq ft of finished living space, plus an unfinished basement. The home features gas hot water heat Inside you will find classic hardwood floors in the formal living and dining rooms, French doors, and a country kitchen with white cabinetry. Lots of potential in the 14' x 13' sunroom providing the perfect space to relax and enjoy this spacious yard.. The historic 61' x 32' two story barn was meticulously rebuilt about 25 years ago. Barn has electric and roof is about 3 years old. Outbuildings include a lean-to for storage, and a detached 2-car garage. Located in [Redacted Township] within the Crown [Redacted School District], this property offers the best of both worlds -- rural charm and convenient access to I-65, restaurants, shopping, and downtown Crown Point. HOUSE AND YARD NEEDS WORK....... but the potential is endless!",349900.0,2082.0,2.0,3.0,2.0,2.0,2.0,2.0,1910.0
condos,condo,"Located in Rosemary Villas, this well-maintained, one-owner, 3-bedroom, 2-bath villa offers comfort, convenience, and easy living. Featuring a spacious floor plan with soaring ceilings and abundant natural light, this home is thoughtfully designed for both everyday living and entertainment. The large great room serves as the heart of the home, complete with a cozy gas fireplace-perfect for relaxing evenings. The bright four-season sunroom is ideal for morning coffee, reading, or spending time with friends. Enjoy the convenience of main-floor laundry, plus a separate entrance to the basement through the garage for added flexibility. The large unfinished basement offers excellent space for storage, a workshop, crafting area, or hobbies. Recent updates provide peace of mind, including a new furnace and A/C in 2025, a new water heater in 2026, and newer dishwasher and washing machine. Step outside to relax on your private back patio or enjoy the covered front porch. Lawn care, sprinkler maintenance and snow removal included in the HOA. Move-in ready and well cared for-this is easy living at its best.",336000.0,2100.0,1.0,3.0,2.0,2.0,2.0,2.0,1990.0
single_family,,"Set on one acre of park-like grounds just minutes from downtown Bedford, this charming 1956 limestone ranch offers space, character, and flexibility. A long-paved driveway leads to the attached two-car garage and welcoming front elevation, framed by mature shade trees and refreshed landscape beds. Inside, approximately 1,296 square feet of single-level living showcases new Pergo flooring throughout (except family rm), complemented by fresh neutral paint in SW-Greek Villa for a clean, move-in-ready feel. The spacious rear family room features brand-new carpet, a dramatic picture window overlooking the deep backyard, and direct access to a large concrete patio, perfect for entertaining, grilling, or relaxing around a firepit. The centrally located kitchen blends timeless mid-century character with thoughtful updates, featuring solid wood cabinetry finished in SW-Urban Bronze, generous counter space, tile backsplash, and peninsula seating. Its open flow into the family room creates an ideal layout for both everyday living and hosting. A bright full bath with tub/shower combination and a dedicated laundry/mudroom complete with exterior access, shelving, and included washer and dryer add everyday functionality and convenience. Outdoors, the expansive backyard offers endless possibilities. Established planting beds, wide open green space, and a substantial detached outbuilding (gravel floor) provide the perfect setup for hobbies, workshop use, storage, or a future studio. The long, rectangular lot allows ample room for pets, gardening, or recreation, all while enjoying the comfort of a well-established neighborhood. Conveniently located near Bedford's shopping, dining, schools, Highway 50, and outdoor recreation, this property delivers that small-town charm.",225000.0,1296.0,1.0,2.0,1.0,1.0,1.0,2.0,1956.0
single_family,,"Welcome to the Courtyard [Redacted Entity] in The Reserve! This well-designed single-story home with comfort and function in mind. The layout features three bedrooms, two bathrooms, and an open-concept great room, breakfast nook, and kitchen that creates the perfect everyday gathering space. The foyer makes a welcoming first impression, while the spacious primary suite offers a walk-in closet and a relaxing bath with spa-like touches. A covered back patio extends your living space outdoors. Located in [Redacted Township], you'll love the easy access to US-[Redacted Entity] to downtown Indianapolis. Nearby shopping, golf courses, parks, and the Indianapolis World Sports Park make it easy to explore, unwind, and feel at home. Additional highlights include: covered partial front porch, covered back patio, water softener rough-in in the laundry room, 9ft ceilings, and an additional secondary bedroom in place of flex room. MLS#22053020",279999.0,1605.0,1.0,3.0,2.0,2.0,2.0,2.0,
single_family,,"Welcome to [Redacted Entity] - a well-built, stately ranch situated on a spacious half-acre fenced lot. This 2,000+ square foot home offers an inviting open floor plan featuring a large great room with vaulted ceilings and a bright breakfast area. A separate family room provides additional living space and connects to a versatile formal dining room that could also serve as a den or office. The home includes three generously sized bedrooms, highlighted by a private master wing with double closets and a full bath. A large four seasons room with sliding windows provides year-round enjoyment and showcases expansive views of the backyard-perfect for relaxing or entertaining. Conveniently located just minutes from the beautiful Concordia Theological Seminary campus, downtown Fort Wayne, and Bishop Dwenger High School, this property offers both space and accessibility in a desirable setting.",265000.0,2056.0,1.0,3.0,3.0,2.0,2.0,2.0,1972.0
single_family,,"Serene living is calling your name with this beautifully landscaped ranch that truly checks the boxes. With three bedrooms and three bathrooms, this home offers comfort, space, and peace of mind - especially knowing the major systems like the furnace, A/C, and water heater have already been updated. Inside, the open main floor is warm and welcoming, highlighted by gorgeous custom Brazilian cherry hardwood flooring and a kitchen that flows seamlessly into the living space. There's no shortage of storage either, and the dedicated main-floor laundry room makes everyday living easy. The bedrooms are all generously sized, including a primary suite that feels like your own private retreat, complete with a walk-in closet and an oversized bathroom with a soaking tub. Both the kitchen and the primary bedroom lead directly out to the back deck - the perfect spot to sip your morning coffee (or evening cocktail) while overlooking the peaceful, tree-lined backyard. Downstairs, the full-length basement gives you room to spread out, entertain at the dry bar, or create a home office or workout space that fits your lifestyle. With big-ticket updates already handled - including the roof with copper gables, furnace, water heater, softener, and whole-house generator - this is a home you can simply move into and enjoy.",417500.0,3035.0,1.0,3.0,3.0,2.0,2.0,2.0,1993.0
